OBJECTID,TILENAME,DOWNLOAD_P,AVAILABLE,COMMTYPE,YEAR,NOTE,TILENUM,FIPS6,TOWNGEOID,MEETS_STD,ORIG_P,SHAPE_Length,SHAPE_Area
115,Benson,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Benson.zip,Y,TOWN,2022-02-01, ,BENSON,21005,5002105200,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/BENSON/ORIG/VTPARCELS_BENSON_2017.zip,45082.105656727,117483497.5138
116,Chittenden,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Chittenden.zip,Y,TOWN,2022-02-17,,CHITTENDEN,21020,5002114350,Y, ,57800.323257728,191537530.154357
117,Moretown,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Moretown.zip,Y,TOWN,2022-02-22,,MORETOWN,23060,5002346225,Y, ,43633.9160270211,103773926.273384
118,Maidstone,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Maidstone.zip,Y,TOWN,2022-02-28,,MAIDSTONE,9075,5000942475,Y, ,58441.6816978875,83104446.6160701
119,Burke,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Burke.zip,Y,TOWN,2022-03-04, ,BURKE,5010,5000510450,Y, ,40471.9286560914,87283786.42686
120,Fair Haven,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Fair Haven.zip,Y,TOWN,2022-03-08,,FAIRHAVEN,21035,5002125375,Y, ,37027.3392021278,47170340.2949738
121,Grafton,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Grafton.zip,Y,TOWN,2022-03-08,,GRAFTON,25030,5002528900,Y, ,42775.4986091222,99033435.8044843
122,Guildhall,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Guildhall.zip,Y,TOWN,2022-03-10,,GUILDHALL,9055,5000930775,Y, ,46527.8915552589,85355022.25806
123,Dorset,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Dorset.zip,Y,TOWN,2022-03-10, ,DORSET,3015,5000317725,Y, ,45443.722845691,123025408.021941
124,Pownal,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Pownal.zip,Y,TOWN,2022-03-11, ,POWNAL,3035,5000357025,Y, ,44102.2849511115,121803046.163687
125,Leicester,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Leicester.zip,Y,TOWN,2022-03-11,,LEICESTER,1045,5000139325,Y,,32704.4625400459,56385095.817879
126,Landgrove,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Landgrove.zip,Y,TOWN,2022-03-15, ,LANDGROVE,3020,5000339025,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/LANDGROVE/ORIG/VTPARCELS_LANDGROVE_2017.zip,28795.9017203891,23036308.5829522
127,Pittsford,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Pittsford.zip,Y,TOWN,2022-03-21,,PITTSFORD,21080,5002155600,Y, ,53488.4138148685,112789580.962998
128,Cornwall,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Cornwall.zip,Y,TOWN,2022-03-22,,CORNWALL,1020,5000116000,Y, ,36536.6589430596,74424823.2655495
129,Weathersfield,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Weathersfield.zip,Y,TOWN,2022-03-22, ,WEATHERSFIELD,27100,5002777500,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/WEATHERSFIELD/ORIG/VTPARCELS_WEATHERSFIELD_2017.zip,45728.5413151384,114037542.244695
130,Ripton,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Ripton.zip,Y,TOWN,2022-03-25,,RIPTON,1080,5000159650,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/RIPTON/ORIG/VTPARCELS_RIPTON_2017.zip,51331.0559684684,128063252.255251
131,Barton,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Barton.zip,Y,TOWN,2022-04-01,,BARTON,19010,5001903550,Y, ,47446.338814174,114883657.138604
132,Charlotte,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Charlotte.zip,Y,TOWN,2022-04-05, ,CHARLOTTE,7020,5000713300,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/CHARLOTTE/ORIG/VTPARCELS_CHARLOTTE_2017.zip,45660.6205445393,130472780.536451
133,Winhall,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Winhall.zip,Y,TOWN,2022-04-05,,WINHALL,3075,5000385075,Y, ,43660.1661393592,115314815.931851
134,Ferrisburgh,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Ferrisburgh.zip,Y,TOWN,2022-04-07,,FERRISBURGH,1025,5000126300,Y, ,59759.2896768457,158603750.103998
135,West Windsor,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_West Windsor.zip,Y,TOWN,2022-04-07, ,WESTWINDSOR,27110,5002783050,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/WESTWINDSOR/ORIG/VTPARCELS_WESTWINDSOR_2017.zip,32977.0292787428,64258143.3442964
136,Searsburg,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Searsburg.zip,Y,TOWN,2022-04-08,,SEARSBURG,3055,5000363175,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/SEARSBURG/ORIG/VTPARCELS_SEARSBURG_2017.zip,29679.7683143048,55450992.7750474
